Site;Site coordinates;Host plant species;Longest stem 1;Longest stem 2;Longest stem 3;Number of feeding holes;Number of oviposition holes;Number of exit holes;Number  of larvae;Number of pupae;Number of adults
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. guerichienum;107;115;132;18;17;3;4;1;0
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. guerichienum;127;102;97;33;16;8;5;1;0
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. guerichienum;140;87;54;18;10;2;2;0;0
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. guerichienum;115;102;107;49;17;1;3;0;0
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. guerichienum;140;142;109;38;9;1;24;4;0
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. crystallinum;77;130;64;26;13;6;3;2;2
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. crystallinum;56;43;56;15;14;5;0;4;1
Elanda bay (hotel);-32.27484566241565, 18.34632124779808;C. crystallinum;84;82;66;34;23;0;1;4;2
Leipoldtville;-32.21966591384628,18.480039008014288;C. crystallinum;71;79;102;24;10;2;4;9;0
Leipoldtville;-32.21966591384628,18.480039008014288;C. crystallinum;74;97;64;51;29;7;24;10;3
Leipoldtville;-32.21966591384628,18.480039008014288;C. crystallinum;122;122;84;48;29;12;12;3;5
Leipoldtville;-32.21966591384628,18.480039008014288;C. crystallinum;92;120;92;62;61;13;13;10;5
Leipoldtville;-32.21966591384628,18.480039008014288;C. crystallinum;97;69;94;67;25;2;20;4;0
Dwarskesbos;-32.752464,18.170629;C. guerichienum;74;74;69;48;34;1;14;1;1
Dwarskesbos;-32.752464,18.170630;C. guerichienum;125;160;92;5;12;2;8;0;0
Dwarskesbos;-32.752464,18.170631;C. guerichienum;62;97;107;33;21;0;16;3;0
Dwarskesbos;-32.752464,18.170632;C. guerichienum;104;148;115;21;17;0;4;0;0
Dwarskesbos;-32.752464,18.170633;C. crystallinum;84;115;66;8;14;6;3;4;1
Dwarskesbos;-32.752464,18.170634;C. crystallinum;84;61;84;9;17;2;17;4;0
Dwarskesbos;-32.752464,18.170635;C. crystallinum;59;51;56;7;3;2;4;0;0
Dwarskesbos;-32.752464,18.170636;C. crystallinum;51;56;59;3;2;1;4;0;0
Dwarskesbos;-32.752464,18.170637;C. crystallinum;64;40;66;3;6;1;2;2;0
Yzerfontein;-33.34443942197688,18.172220966823584;C. crystallinum;102;84;87;1;1;1;0;1;0
Yzerfontein;-33.34443942197688,18.172220966823584;C. crystallinum;97;74;94;3;6;1;1;1;0
Yzerfontein;-33.34443942197688,18.172220966823584;C. crystallinum;112;102;208;9;11;0;6;4;2
Yzerfontein;-33.34443942197688,18.172220966823584;C. guerichienum;115;74;208;7;25;1;6;2;1
Yzerfontein;-33.34443942197688,18.172220966823584;C. guerichienum;87;53;38;3;5;0;1;0;1
Yzerfontein;-33.34443942197688,18.172220966823584;C. guerichienum;127;107;109;12;7;0;2;1;0
Vanehynsdorp 1;-31.457868319975628, 18.95701373769989;C. pellitum;65;63;62;25;28;2;11;0;0
Vanehynsdorp 1;-31.457868319975628, 18.95701373769989;C. pellitum;37;40;32;6;1;0;4;0;0
Vanehynsdorp 1;-31.457868319975628, 18.95701373769989;C. pellitum;46;53;43;28;25;0;8;0;0
Vanrhynsdorp 2;-31.568868943177765, 18.80231679411968;C. pellitum;54;55;40;5;9;0;15;0;0
Vanrhynsdorp 2;-31.568868943177765, 18.80231679411968;C. pellitum;43;37;39;6;11;0;8;0;0
Vanrhynsdorp 2;-31.568868943177765, 18.80231679411968;C. pellitum;45;38;37;8;3;0;7;0;1
Vredendal;-31.625909166747576, 18.645824252027225;C. pellitum;27;33;28;20;19;0;10;0;0
Vredendal;-31.625909166747576, 18.645824252027225;C. pellitum;35;31;40;12;4;0;0;0;0
Vredendal;-31.625909166747576, 18.645824252027225;C. pellitum;39;37;43;22;11;0;5;0;0
Kleinsee 1;-29.543740711512232, 17.451455316684648;C. barklyi;25;24;24;15;15;0;13;0;0
Kleinsee 1;-29.543740711512232, 17.451455316684648;C. barklyi;46;57;53;12;16;0;26;0;0
Kleinsee 1;-29.543740711512232, 17.451455316684648;C. barklyi;37;24;38;13;15;0;0;0;0
Kleinsee 2;-29.56521541488532, 17.317842178980865;C. barklyi;36;34;33;35;8;0;64;0;0
Kleinsee 2;-29.56521541488532, 17.317842178980865;C. barklyi;49;35;55;31;19;0;71;0;0
Kleinsee  2;-29.56521541488532, 17.317842178980865;C. barklyi;46;64;67;38;31;1;97;0;0
Kleinsee 3;-29.609739475752153, 17.182387806628192;C. barklyi;73;69;74;15;9;0;1;0;0
Kleinsee 3;-29.609739475752153, 17.182387806628192;C. barklyi;47;51;50;6;11;1;1;0;0
Kleinsee 3;-29.609739475752153, 17.182387806628192;C. barklyi;71;53;60;13;11;1;0;0;0
